日期,AQI,质量等级,PM2.5,PM10,NO2,CO,SO2,O3_8h
2013/12/2,142,轻度污染,109,138,88,2.6,61,11
2013/12/3,86,良,64,86,54,1.6,38,45
2013/12/4,109,轻度污染,82,101,62,2,42,23
2013/12/5,56,良,39,56,38,1.2,30,52
2013/12/6,169,中度污染,128,162,78,2.5,48,15
2013/12/7,291,重度污染,241,285,98,4.2,64,6
2013/12/8,223,重度污染,173,189,60,2.9,47,41
2013/12/9,26,优,11,16,22,0.6,10,51
2013/12/10,45,优,21,45,29,1,14,52
2013/12/11,30,优,19,30,30,0.7,15,45
2013/12/12,29,优,16,29,25,0.8,11,56
2013/12/13,66,良,48,63,45,1.3,29,29
2013/12/14,56,良,40,48,41,1.2,29,46
2013/12/15,64,良,46,55,49,1.5,31,31
2013/12/16,134,轻度污染,102,126,70,2.5,59,10
2013/12/17,80,良,59,41,39,1.4,35,42
2013/12/18,45,优,29,45,32,0.9,22,43
2013/12/19,63,良,45,60,50,1.2,30,35
2013/12/20,45,优,30,45,46,1.1,28,47
2013/12/21,82,良,61,81,69,1.6,43,30
2013/12/22,179,中度污染,135,178,95,2.8,67,14
2013/12/23,166,中度污染,126,166,90,2.9,62,30
2013/12/24,269,重度污染,219,268,123,4.8,94,10
2013/12/25,219,重度污染,169,219,94,3.3,65,54
2013/12/26,30,优,10,20,21,0.4,9,59
2013/12/27,23,优,16,21,34,0.6,19,40
2013/12/28,31,优,11,18,21,0.3,11,61
2013/12/29,78,良,58,87,76,1.7,48,30
2013/12/30,67,良,43,84,53,1.1,28,59
2013/12/31,99,良,50,148,49,1.2,23,63
2014/1/1,81,良,45,111,62,1.5,28,52
2014/1/2,145,轻度污染,111,168,93,3.4,69,14
2014/1/3,74,良,47,98,52,1.3,29,56
2014/1/4,149,轻度污染,114,147,75,2.8,40,14
2014/1/5,119,轻度污染,91,117,67,2.3,36,44
2014/1/6,182,中度污染,138,158,68,2.4,46,12
2014/1/7,145,轻度污染,111,125,60,2,34,43
2014/1/8,27,优,15,25,21,0.5,13,53
2014/1/9,46,优,27,46,35,0.8,19,53
2014/1/10,85,良,63,94,71,1.9,53,19
2014/1/11,139,轻度污染,106,128,90,2.8,76,11
2014/1/12,47,优,27,47,39,0.7,27,59
2014/1/13,109,轻度污染,82,107,78,2.3,67,20
2014/1/14,108,轻度污染,82,108,74,2.4,68,24
2014/1/15,125,轻度污染,95,117,84,2.7,66,18
2014/1/16,402,严重污染,353,384,123,4.6,109,20
2014/1/17,215,重度污染,165,194,76,2.4,67,30
2014/1/18,99,良,74,81,61,1.5,42,36
2014/1/19,151,中度污染,115,186,72,2.5,71,41
2014/1/20,35,优,8,35,15,0.3,6,65
2014/1/21,26,优,18,25,34,0.7,27,50
2014/1/22,150,轻度污染,115,138,93,2.2,75,16
2014/1/23,271,重度污染,221,263,125,4,118,8
2014/1/24,197,中度污染,148,168,92,2.8,79,23
2014/1/25,42,优,24,42,42,1,24,61
2014/1/26,72,良,53,81,47,1,45,44
2014/1/27,118,轻度污染,89,120,60,1.8,57,56
2014/1/28,62,良,40,75,38,0.9,28,56
2014/1/29,155,中度污染,118,141,75,2.3,71,32
2014/1/30,96,良,72,97,46,1.2,39,68
2014/1/31,190,中度污染,143,182,48,1.4,63,38
2014/2/1,179,中度污染,135,146,57,2,52,12
2014/2/2,89,良,66,97,31,1.2,19,73
2014/2/3,37,优,5,32,8,0.3,5,73
2014/2/4,40,优,27,40,21,0.6,19,68
2014/2/5,117,轻度污染,88,102,49,1.6,53,42
2014/2/6,157,中度污染,120,130,64,2,66,39
2014/2/7,133,轻度污染,102,67,59,1.6,33,30
2014/2/8,90,良,67,40,36,1.2,23,66
2014/2/9,33,优,9,16,18,0.5,16,65
