日期,季节,AQI,质量等级,PM2.5,PM10,NO2,CO,SO2,O3_8h
2013-12-02,冬,142,轻度污染,109,138,88,2.6,61,11
2013-12-03,冬,86,良,64,86,54,1.6,38,45
2013-12-04,冬,109,轻度污染,82,101,62,2.0,42,23
2013-12-05,冬,56,良,39,56,38,1.2,30,52
2013-12-06,冬,169,中度污染,128,162,78,2.5,48,15
2013-12-07,冬,291,重度污染,241,285,98,4.2,64,6
2013-12-08,冬,223,重度污染,173,189,60,2.9,47,41
2013-12-09,冬,26,优,11,16,22,0.6,10,51
2013-12-10,冬,45,优,21,45,29,1.0,14,52
2013-12-11,冬,30,优,19,30,30,0.7,15,45
2013-12-12,冬,29,优,16,29,25,0.8,11,56
2013-12-13,冬,66,良,48,63,45,1.3,29,29
2013-12-14,冬,56,良,40,48,41,1.2,29,46
2013-12-15,冬,64,良,46,55,49,1.5,31,31
2013-12-16,冬,134,轻度污染,102,126,70,2.5,59,10
2013-12-17,冬,80,良,59,41,39,1.4,35,42
2013-12-18,冬,45,优,29,45,32,0.9,22,43
2013-12-19,冬,63,良,45,60,50,1.2,30,35
2013-12-20,冬,45,优,30,45,46,1.1,28,47
2013-12-21,冬,82,良,61,81,69,1.6,43,30
2013-12-22,冬,179,中度污染,135,178,95,2.8,67,14
2013-12-23,冬,166,中度污染,126,166,90,2.9,62,30
2013-12-24,冬,269,重度污染,219,268,123,4.8,94,10
2013-12-25,冬,219,重度污染,169,219,94,3.3,65,54
2013-12-26,冬,30,优,10,20,21,0.4,9,59
2013-12-27,冬,23,优,16,21,34,0.6,19,40
2013-12-28,冬,31,优,11,18,21,0.3,11,61
2013-12-29,冬,78,良,58,87,76,1.7,48,30
2013-12-30,冬,67,良,43,84,53,1.1,28,59
2013-12-31,冬,99,良,50,148,49,1.2,23,63
2014-01-01,冬,81,良,45,111,62,1.5,28,52
2014-01-02,冬,145,轻度污染,111,168,93,3.4,69,14
2014-01-03,冬,74,良,47,98,52,1.3,29,56
2014-01-04,冬,149,轻度污染,114,147,75,2.8,40,14
2014-01-05,冬,119,轻度污染,91,117,67,2.3,36,44
