»’∆⁄,ºæΩ⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,NO2,CO,SO2,O3_8h
2013-12-02,∂¨,142,«·∂»Œ€»æ,109,138,88,2.6,61,11
2013-12-03,∂¨,86,¡º,64,86,54,1.6,38,45
2013-12-04,∂¨,109,«·∂»Œ€»æ,82,101,62,2.0,42,23
2013-12-05,∂¨,56,¡º,39,56,38,1.2,30,52
2013-12-06,∂¨,169,÷–∂»Œ€»æ,128,162,78,2.5,48,15
2013-12-07,∂¨,291,÷ÿ∂»Œ€»æ,241,285,98,4.2,64,6
2013-12-08,∂¨,223,÷ÿ∂»Œ€»æ,173,189,60,2.9,47,41
2013-12-09,∂¨,26,”≈,11,16,22,0.6,10,51
2013-12-10,∂¨,45,”≈,21,45,29,1.0,14,52
2013-12-11,∂¨,30,”≈,19,30,30,0.7,15,45
2013-12-12,∂¨,29,”≈,16,29,25,0.8,11,56
2013-12-13,∂¨,66,¡º,48,63,45,1.3,29,29
2013-12-14,∂¨,56,¡º,40,48,41,1.2,29,46
2013-12-15,∂¨,64,¡º,46,55,49,1.5,31,31
2013-12-16,∂¨,134,«·∂»Œ€»æ,102,126,70,2.5,59,10
2013-12-17,∂¨,80,¡º,59,41,39,1.4,35,42
2013-12-18,∂¨,45,”≈,29,45,32,0.9,22,43
2013-12-19,∂¨,63,¡º,45,60,50,1.2,30,35
2013-12-20,∂¨,45,”≈,30,45,46,1.1,28,47
2013-12-21,∂¨,82,¡º,61,81,69,1.6,43,30
2013-12-22,∂¨,179,÷–∂»Œ€»æ,135,178,95,2.8,67,14
2013-12-23,∂¨,166,÷–∂»Œ€»æ,126,166,90,2.9,62,30
2013-12-24,∂¨,269,÷ÿ∂»Œ€»æ,219,268,123,4.8,94,10
2013-12-25,∂¨,219,÷ÿ∂»Œ€»æ,169,219,94,3.3,65,54
2013-12-26,∂¨,30,”≈,10,20,21,0.4,9,59
2013-12-27,∂¨,23,”≈,16,21,34,0.6,19,40
2013-12-28,∂¨,31,”≈,11,18,21,0.3,11,61
2013-12-29,∂¨,78,¡º,58,87,76,1.7,48,30
2013-12-30,∂¨,67,¡º,43,84,53,1.1,28,59
2013-12-31,∂¨,99,¡º,50,148,49,1.2,23,63
2014-01-01,∂¨,81,¡º,45,111,62,1.5,28,52
2014-01-02,∂¨,145,«·∂»Œ€»æ,111,168,93,3.4,69,14
2014-01-03,∂¨,74,¡º,47,98,52,1.3,29,56
2014-01-04,∂¨,149,«·∂»Œ€»æ,114,147,75,2.8,40,14
2014-01-05,∂¨,119,«·∂»Œ€»æ,91,117,67,2.3,36,44
2014-01-06,∂¨,182,÷–∂»Œ€»æ,138,158,68,2.4,46,12
2014-01-07,∂¨,145,«·∂»Œ€»æ,111,125,60,2.0,34,43
2014-01-08,∂¨,27,”≈,15,25,21,0.5,13,53
2014-01-09,∂¨,46,”≈,27,46,35,0.8,19,53
2014-01-10,∂¨,85,¡º,63,94,71,1.9,53,19
2014-01-11,∂¨,139,«·∂»Œ€»æ,106,128,90,2.8,76,11
2014-01-12,∂¨,47,”≈,27,47,39,0.7,27,59
2014-01-13,∂¨,109,«·∂»Œ€»æ,82,107,78,2.3,67,20
2014-01-14,∂¨,108,«·∂»Œ€»æ,82,108,74,2.4,68,24
2014-01-15,∂¨,125,«·∂»Œ€»æ,95,117,84,2.7,66,18
2014-01-16,∂¨,402,—œ÷ÿŒ€»æ,353,384,123,4.6,109,20
2014-01-17,∂¨,215,÷ÿ∂»Œ€»æ,165,194,76,2.4,67,30
2014-01-18,∂¨,99,¡º,74,81,61,1.5,42,36
2014-01-19,∂¨,151,÷–∂»Œ€»æ,115,186,72,2.5,71,41
2014-01-20,∂¨,35,”≈,8,35,15,0.3,6,65
2014-01-21,∂¨,26,”≈,18,25,34,0.7,27,50
2014-01-22,∂¨,150,«·∂»Œ€»æ,115,138,93,2.2,75,16
2014-01-23,∂¨,271,÷ÿ∂»Œ€»æ,221,263,125,4.0,118,8
2014-01-24,∂¨,197,÷–∂»Œ€»æ,148,168,92,2.8,79,23
2014-01-25,∂¨,42,”≈,24,42,42,1.0,24,61
2014-01-26,∂¨,72,¡º,53,81,47,1.0,45,44
2014-01-27,∂¨,118,«·∂»Œ€»æ,89,120,60,1.8,57,56
2014-01-28,∂¨,62,¡º,40,75,38,0.9,28,56
2014-01-29,∂¨,155,÷–∂»Œ€»æ,118,141,75,2.3,71,32
2014-01-30,∂¨,96,¡º,72,97,46,1.2,39,68
2014-01-31,∂¨,190,÷–∂»Œ€»æ,143,182,48,1.4,63,38
2014-02-01,∂¨,179,÷–∂»Œ€»æ,135,146,57,2.0,52,12
2014-02-02,∂¨,89,¡º,66,97,31,1.2,19,73
2014-02-03,∂¨,37,”≈,5,32,8,0.3,5,73
2014-02-04,∂¨,40,”≈,27,40,21,0.6,19,68
2014-02-05,∂¨,117,«·∂»Œ€»æ,88,102,49,1.6,53,42
2014-02-06,∂¨,157,÷–∂»Œ€»æ,120,130,64,2.0,66,39
2014-02-07,∂¨,133,«·∂»Œ€»æ,102,67,59,1.6,33,30
2014-02-08,∂¨,90,¡º,67,40,36,1.2,23,66
2014-02-09,∂¨,33,”≈,9,16,18,0.5,16,65
2014-02-10,∂¨,35,”≈,24,28,38,0.7,26,55
2014-02-11,∂¨,129,«·∂»Œ€»æ,98,111,77,2.1,58,37
2014-02-12,∂¨,146,«·∂»Œ€»æ,111,116,77,2.2,53,47
2014-02-13,∂¨,238,÷ÿ∂»Œ€»æ,188,173,84,2.8,73,24
2014-02-14,∂¨,315,—œ÷ÿŒ€»æ,265,295,95,3.1,73,27
2014-02-15,∂¨,428,—œ÷ÿŒ€»æ,393,449,110,3.8,100,25
2014-02-16,∂¨,346,—œ÷ÿŒ€»æ,296,204,88,3.2,79,60
2014-02-17,∂¨,138,«·∂»Œ€»æ,105,52,72,2.1,67,56
2014-02-18,∂¨,95,¡º,71,84,61,1.1,38,44
2014-02-19,∂¨,87,¡º,64,72,60,1.2,34,64
2014-02-20,∂¨,214,÷ÿ∂»Œ€»æ,164,175,79,2.2,45,30
2014-02-21,∂¨,309,—œ÷ÿŒ€»æ,259,284,101,2.7,78,26
2014-02-22,∂¨,313,—œ÷ÿŒ€»æ,263,300,102,3.4,102,18
2014-02-23,∂¨,261,÷ÿ∂»Œ€»æ,211,246,92,3.6,130,14
2014-02-24,∂¨,310,—œ÷ÿŒ€»æ,260,327,119,4.7,133,19
2014-02-25,∂¨,403,—œ÷ÿŒ€»æ,354,389,122,5.2,78,13
2014-02-26,∂¨,366,—œ÷ÿŒ€»æ,316,250,106,3.7,81,18
2014-02-27,∂¨,35,”≈,16,24,25,0.5,13,70
2014-02-28,∂¨,103,«·∂»Œ€»æ,78,102,71,1.5,33,47
2014-03-01,¥∫,54,¡º,38,57,48,0.8,23,70
2014-03-02,¥∫,178,÷–∂»Œ€»æ,135,165,93,2.6,60,40
2014-03-03,¥∫,268,÷ÿ∂»Œ€»æ,218,248,102,4.2,96,18
2014-03-04,¥∫,77,¡º,57,78,40,1.3,27,74
2014-03-05,¥∫,35,”≈,20,35,35,0.8,16,66
2014-03-06,¥∫,39,”≈,16,28,29,0.6,14,77
2014-03-07,¥∫,66,¡º,48,72,53,1.1,26,65
2014-03-08,¥∫,172,÷–∂»Œ€»æ,131,166,92,2.3,68,38
2014-03-09,¥∫,124,«·∂»Œ€»æ,94,118,68,1.6,45,72
2014-03-10,¥∫,107,«·∂»Œ€»æ,81,101,72,1.7,53,45
2014-03-11,¥∫,205,÷ÿ∂»Œ€»æ,155,196,80,2.4,76,68
2014-03-12,¥∫,41,”≈,11,23,26,0.4,9,82
2014-03-13,¥∫,62,¡º,20,75,37,0.6,14,77
2014-03-14,¥∫,64,¡º,21,79,31,0.5,13,86
2014-03-15,¥∫,124,«·∂»Œ€»æ,94,173,89,1.5,43,61
2014-03-16,¥∫,148,«·∂»Œ€»æ,113,198,72,2.1,76,97
2014-03-17,¥∫,145,«·∂»Œ€»æ,83,241,50,1.2,27,82
2014-03-18,¥∫,87,¡º,37,124,36,0.6,17,91
2014-03-19,¥∫,72,¡º,46,93,46,0.8,17,78
2014-03-20,¥∫,44,”≈,10,27,23,0.4,5,87
2014-03-21,¥∫,57,¡º,25,64,43,0.6,11,92
2014-03-22,¥∫,82,¡º,47,115,53,0.8,16,96
2014-03-23,¥∫,177,÷–∂»Œ€»æ,134,183,69,1.6,44,146
2014-03-24,¥∫,270,÷ÿ∂»Œ€»æ,220,249,93,2.0,53,115
2014-03-25,¥∫,250,÷ÿ∂»Œ€»æ,200,237,92,1.6,43,159
2014-03-26,¥∫,319,—œ÷ÿŒ€»æ,269,318,111,2.0,43,137
2014-03-27,¥∫,299,÷ÿ∂»Œ€»æ,249,300,107,2.4,34,86
2014-03-28,¥∫,168,÷–∂»Œ€»æ,128,171,66,1.7,25,90
2014-03-29,¥∫,63,¡º,39,76,37,0.6,7,95
2014-03-30,¥∫,64,¡º,31,78,58,0.5,8,92
2014-03-31,¥∫,176,÷–∂»Œ€»æ,133,183,81,1.8,35,89
2014-04-01,¥∫,137,«·∂»Œ€»æ,104,117,60,0.9,17,125
2014-04-02,¥∫,130,«·∂»Œ€»æ,99,159,58,1.0,21,135
2014-04-03,¥∫,65,¡º,23,80,36,0.5,6,93
2014-04-04,¥∫,91,¡º,32,132,40,0.6,8,100
2014-04-05,¥∫,65,¡º,22,80,29,0.4,6,100
2014-04-06,¥∫,96,¡º,53,143,58,0.7,12,109
2014-04-07,¥∫,128,«·∂»Œ€»æ,97,176,62,0.8,20,144
2014-04-08,¥∫,224,÷ÿ∂»Œ€»æ,174,237,82,1.5,38,184
2014-04-09,¥∫,159,÷–∂»Œ€»æ,121,239,50,0.9,19,145
2014-04-10,¥∫,251,÷ÿ∂»Œ€»æ,87,386,52,1.3,27,94
2014-04-11,¥∫,81,¡º,60,112,60,1.0,17,94
2014-04-12,¥∫,131,«·∂»Œ€»æ,100,136,75,1.4,25,136
2014-04-13,¥∫,207,÷ÿ∂»Œ€»æ,157,190,71,1.3,25,194
