,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
0,261.2528,251.99999999999997,292.31915,284.0,100.777084,104.00000000000001,3.502756,3.6,19.994274,18.0,9.198818,17.0
1,11.456238,16.0,30.800251,26.0,13.030056,12.0,0.6130036,0.6,2.9681032,3.0,69.43196,71.0
2,19.6846,22.0,41.357483,40.0,17.185987,18.0,0.5605949,0.6,4.137364,2.0,156.47354,159.0
3,14.092269,14.0,23.964481,18.0,17.449255,17.0,0.575938,0.5,0.7024485,3.0,62.82626,55.0
4,37.606373,43.0,55.283676,47.0,31.01515,28.0,0.58845794,0.6,0.41110152,2.0,62.692066,59.0
5,89.2914,109.0,86.566795,76.0,37.55934,30.0,1.2902172,1.4,4.174093,7.0,68.04951,66.0
6,1.9083015,10.0,34.090923,26.0,15.2225485,16.0,0.41880992,0.4,4.3355846,2.0,105.56487,111.0
7,58.994755,60.0,95.143295,88.00000000000001,35.943863,38.99999999999999,0.7984798,0.7,6.745622,7.0,161.16988,157.0
8,114.73648,141.0,104.23632,77.0,51.41894,46.0,1.6618279,1.7,13.051895,16.0,126.65297,130.0
9,134.22324,188.0,255.09013,263.0,54.852364,37.0,1.5681218,1.0,45.03038,53.0,89.56605,74.0
10,7.5140996,5.0,26.62237,17.0,17.606577,19.0,0.34965304,0.2,0.3951679,2.0,76.86732,80.0
11,14.832348,14.0,23.07964,23.0,23.408024,20.0,0.47524598,0.4,-0.31906173,2.0,63.56955,59.0
12,181.01227,175.0,174.01242,168.0,80.9524,86.0,2.741672,2.9,9.884552,6.0,-0.63607085,11.0
13,119.45235,120.0,136.90388,139.0,36.086075,30.0,1.1998475,1.3,-0.6756746,2.0,221.73497,217.0
14,100.952156,117.0,104.0059,109.0,58.41985,56.0,1.223043,0.9,1.5430005,3.0,80.18905,77.0
15,73.01862,76.0,81.88872,77.0,47.983242,48.99999999999999,1.0385774,0.9,2.4274373,3.0,110.83305,110.0
16,80.9848,82.0,104.08554,102.0,32.441673,33.0,0.9504287,0.8,0.92050105,3.0,172.85942,168.00000000000003
17,42.055103,34.0,65.47517,65.0,39.965057,48.99999999999999,0.94655323,0.8,10.518041,9.0,36.74506,39.0
18,123.57722,124.00000000000001,182.44957,179.0,75.13186,80.0,1.5050344,1.2,19.985788,21.0,117.95675,116.0
19,51.64463,47.0,89.06195,97.99999999999999,50.609066,52.00000000000001,1.2854754,1.3,28.103529,29.0,56.3105,56.0
20,14.434491,22.0,27.652666,20.0,25.657911,31.0,0.5818981,0.4,3.9108238,2.0,53.017597,59.0
21,7.942305,9.0,19.181465,14.0,11.870412,12.0,0.40462062,0.3,4.413948,5.0,59.410065,68.0
22,17.17194,22.0,29.684706,23.0,26.556305,22.0,0.46034458,0.5,0.38122407,2.0,73.61922,69.0
23,8.961449,8.0,7.0215173,14.0,16.124685,6.0,0.2396374,0.2,-1.2472321,2.0,72.483635,69.0
24,263.3966,242.00000000000003,291.196,271.0,113.61471,119.0,3.2545068,3.4,7.2952127,6.0,-4.8983583,12.000000000000002
25,40.524754,57.0,50.01118,38.0,21.82764,19.0,0.85362124,0.8,2.780822,3.0,88.74178,92.0
26,83.131165,93.0,65.64223,64.0,52.904636,58.99999999999999,1.4055015,1.0,2.964563,2.0,15.338237,5.0
27,41.69973,39.0,92.96516,100.00000000000001,24.805006,23.0,0.44520876,0.6,3.3085387,3.0,168.28763,172.0
28,30.161861,26.0,32.837997,37.0,28.648354,24.0,0.49410668,0.5,0.93863547,3.0,68.233246,67.0
29,108.78324,103.0,161.95027,158.0,61.042698,67.0,1.2049994,1.0,17.65931,19.0,203.54623,200.0
30,84.58758,75.0,111.97214,113.0,68.240135,79.0,1.5937498,1.5,18.23893,14.0,16.561127,17.0
31,52.427197,52.0,64.71817,87.0,47.62394,43.0,0.8469063,0.8,2.514991,3.0,35.652344,30.0
